iter	op	class	chunk_bytes	comp	pattern	msgs	payload_bytes	chunks_touched	chunk_fetched_bytes	summary_bytes	raw_fetched	raw_reads	file_size	wall	rss_kb
2	read	small	1048576	zstd	point	1	100	1	455627	29523	485161	684	195344930	0.001538	6344
3	read	small	1048576	zstd	point	1	100	1	455627	29523	485161	684	195344930	0.001491	6340
4	read	small	1048576	zstd	point	1	100	1	455627	29523	485161	684	195344930	0.001534	6308
5	read	small	1048576	zstd	point	1	100	1	455627	29523	485161	684	195344930	0.001482	6328
1	read	small	1048576	zstd	range	26843	2684300	4	1820973	29523	2234903	696	195344930	0.005388	6680
2	read	small	1048576	zstd	range	26843	2684300	4	1820973	29523	2234903	696	195344930	0.005385	6564
3	read	small	1048576	zstd	range	26843	2684300	4	1820973	29523	2234903	696	195344930	0.005508	6548
4	read	small	1048576	zstd	range	26843	2684300	4	1820973	29523	2234903	696	195344930	0.005341	6564
5	read	small	1048576	zstd	range	26843	2684300	4	1820973	29523	2234903	696	195344930	0.005341	6468
1	read	small	1048576	zstd	streaming	402653	40265300	51	23177204	29523	29613338	884	195344930	0.064148	6464
2	read	small	1048576	zstd	streaming	402653	40265300	51	23177204	29523	29613338	884	195344930	0.063128	6716
3	read	small	1048576	zstd	streaming	402653	40265300	51	23177204	29523	29613338	884	195344930	0.063238	6468
4	read	small	1048576	zstd	streaming	402653	40265300	51	23177204	29523	29613338	884	195344930	0.063104	6592
5	read	small	1048576	zstd	streaming	402653	40265300	51	23177204	29523	29613338	884	195344930	0.062470	6600
1	write	small	4194304	zstd	-	2684355	268435500	0	0	0	0	0	195313763	1.744871	17552
2	write	small	4194304	zstd	-	2684355	268435500	0	0	0	0	0	195313763	1.961071	17540
3	write	small	4194304	zstd	-	2684355	268435500	0	0	0	0	0	195313763	1.818565	17540
1	read	small	4194304	zstd	full	2684355	268435500	84	152350710	7599	194882524	512	195313763	0.427422	14352
2	read	small	4194304	zstd	full	2684355	268435500	84	152350710	7599	194882524	512	195313763	0.426496	14444
