run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
2,1MiB,10MiB,mcap_uncompressed_crc,279046270.2029882,0.000998746
2,1MiB,10MiB,mcap_nochunking,3560813681.652205,0.001024662
2,1MiB,10MiB,sqlite_default,2833724332.6355333,0.000333374
2,1MiB,10MiB,sqlite_resilient,1025653172.2833165,0.000845871
2,10KiB,1KiB,mcap_default,6706861004.414105,0.000997538
2,10KiB,1KiB,mcap_compressed_nocrc,6735226219.188157,0.001576618
2,10KiB,1KiB,mcap_uncompressed_crc,285906359.3003572,0.000802205
2,10KiB,1KiB,mcap_nochunking,3828401349.062031,0.001047912
2,10KiB,1KiB,sqlite_default,596284645.4589438,0.000251207
2,10KiB,1KiB,sqlite_resilient,568704626.4982779,0.000481373
2,10KiB,10MiB,mcap_default,3177518873.096558,0.002015533
2,10KiB,10MiB,mcap_compressed_nocrc,510689245.82150984,0.001530994
2,10KiB,10MiB,mcap_uncompressed_crc,264736168.7104428,0.000992871
2,10KiB,10MiB,mcap_nochunking,3546852818.1470704,0.000994455
2,10KiB,10MiB,sqlite_default,1743283225.4712353,0.000317415
2,10KiB,10MiB,sqlite_resilient,684784021.0837426,0.000771247
2,100B,1KiB,mcap_default,89068051.52828233,0.001339495
2,100B,1KiB,mcap_compressed_nocrc,89170514.71844116,0.00209591
2,100B,1KiB,mcap_uncompressed_crc,59949459.317500904,0.001074914
2,100B,1KiB,mcap_nochunking,461960546.6958933,0.001038706
2,100B,1KiB,sqlite_default,42551252.692014016,0.000248541
2,100B,1KiB,sqlite_resilient,45450863.610052966,0.000586248
2,100B,10MiB,mcap_default,86275959.20713662,0.001304705
2,100B,10MiB,mcap_compressed_nocrc,71843032.79382344,0.00254562
2,100B,10MiB,mcap_uncompressed_crc,58650129.30736992,0.001131831
2,100B,10MiB,mcap_nochunking,468785853.23184425,0.001079998
2,100B,10MiB,sqlite_default,83177636.22070631,0.000346916
2,100B,10MiB,sqlite_resilient,77858724.46946211,0.000905957
2,mixed,1KiB,mcap_default,492812737.2615681,0.001087165
2,mixed,1KiB,mcap_compressed_nocrc,466827527.19431496,0.00119429
2,mixed,1KiB,mcap_uncompressed_crc,98765197.53638572,0.000930498
2,mixed,1KiB,mcap_nochunking,910535555.6923031,0.001084957
2,mixed,1KiB,sqlite_default,145864287.51201636,0.000266333
2,mixed,1KiB,sqlite_resilient,133053606.55969411,0.000855707
2,mixed,10MiB,mcap_default,795286075.7064137,0.00087529
2,mixed,10MiB,mcap_compressed_nocrc,338410083.91359293,0.001305332
2,mixed,10MiB,mcap_uncompressed_crc,203346812.49286538,0.000650833
2,mixed,10MiB,mcap_nochunking,2155792150.9942036,0.001118332
2,mixed,10MiB,sqlite_default,709697282.9951335,0.000274416
2,mixed,10MiB,sqlite_resilient,483501209.3250753,0.001688832
3,1MiB,1KiB,mcap_default,5377346881.678637,0.000887499
3,1MiB,1KiB,mcap_compressed_nocrc,616817607.2935209,0.000850249
3,1MiB,1KiB,mcap_uncompressed_crc,289540207.8643974,0.000771208
3,1MiB,1KiB,mcap_nochunking,3656315992.4092636,0.001198458
3,1MiB,1KiB,sqlite_default,3191999891.9532576,0.000319916
3,1MiB,1KiB,sqlite_resilient,1637910818.9524844,0.001254624
3,1MiB,10MiB,mcap_default,5484506338.467446,0.000796708
3,1MiB,10MiB,mcap_compressed_nocrc,560877496.5194204,0.000818583
3,1MiB,10MiB,mcap_uncompressed_crc,287159346.6049595,0.00075425
3,1MiB,10MiB,mcap_nochunking,3760790641.549705,0.000975082
3,1MiB,10MiB,sqlite_default,3153028185.246039,0.000296208
3,1MiB,10MiB,sqlite_resilient,1241925615.498835,0.000760916
3,10KiB,1KiB,mcap_default,6903840696.829416,0.0009475
3,10KiB,1KiB,mcap_compressed_nocrc,6696416417.62678,0.001792958
3,10KiB,1KiB,mcap_uncompressed_crc,289097810.99860865,0.000777416
3,10KiB,1KiB,mcap_nochunking,3737162816.4953594,0.001118541
3,10KiB,1KiB,sqlite_default,580167488.4565471,0.000318625
3,10KiB,1KiB,sqlite_resilient,587506549.0970837,0.000450917
3,10KiB,10MiB,mcap_default,3377450987.0637956,0.000971792
3,10KiB,10MiB,mcap_compressed_nocrc,521496483.0451139,0.001492708
3,10KiB,10MiB,mcap_uncompressed_crc,278627263.9238627,0.000851708
3,10KiB,10MiB,mcap_nochunking,3564499466.173274,0.001028333
3,10KiB,10MiB,sqlite_default,1886115682.5524237,0.000268209
3,10KiB,10MiB,sqlite_resilient,662475927.4200438,0.000734834
3,100B,1KiB,mcap_default,92118686.25315481,0.001071959
3,100B,1KiB,mcap_compressed_nocrc,91337678.02755165,0.002355084
3,100B,1KiB,mcap_uncompressed_crc,61641826.065295264,0.001315459
3,100B,1KiB,mcap_nochunking,460427456.09468377,0.00095
3,100B,1KiB,sqlite_default,43377186.24105527,0.000251292
3,100B,1KiB,sqlite_resilient,47003449.92505179,0.000771917
3,100B,10MiB,mcap_default,87936505.6762177,0.001198084
3,100B,10MiB,mcap_compressed_nocrc,72610391.89208327,0.002412128
3,100B,10MiB,mcap_uncompressed_crc,59697417.52162614,0.001356043
3,100B,10MiB,mcap_nochunking,471216600.1475126,0.000984792
3,100B,10MiB,sqlite_default,84038983.86060768,0.000349918
3,100B,10MiB,sqlite_resilient,75890945.56161304,0.000927293
3,mixed,1KiB,mcap_default,497890921.52378714,0.000834209
3,mixed,1KiB,mcap_compressed_nocrc,462373970.07097775,0.001299044
3,mixed,1KiB,mcap_uncompressed_crc,99305689.14382225,0.000745542
3,mixed,1KiB,mcap_nochunking,927534529.2051566,0.00110721
3,mixed,1KiB,sqlite_default,144088218.37984416,0.000262751
3,mixed,1KiB,sqlite_resilient,135631193.70357987,0.000804752
3,mixed,10MiB,mcap_default,788691471.4898611,0.000872502
3,mixed,10MiB,mcap_compressed_nocrc,339086002.59453857,0.001472711
3,mixed,10MiB,mcap_uncompressed_crc,208835017.31101876,0.000752668
3,mixed,10MiB,mcap_nochunking,2282842448.33664,0.001094085
3,mixed,10MiB,sqlite_default,674658858.2903003,0.000266208
3,mixed,10MiB,sqlite_resilient,479123234.2856786,0.001512044
4,1MiB,1KiB,mcap_default,5622813500.394805,0.000822668
4,1MiB,1KiB,mcap_compressed_nocrc,626317631.277055,0.000781668
4,1MiB,1KiB,mcap_uncompressed_crc,291635463.62224776,0.00091771
4,1MiB,1KiB,mcap_nochunking,3721707281.934688,0.001221336
