run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
0,100B,1KiB,sqlite_resilient,41630786.3075755,0.001566724
0,100B,10MiB,mcap_default,86895456.89443529,0.001609014
0,100B,10MiB,mcap_compressed_nocrc,70360855.89584288,0.002329615
0,100B,10MiB,mcap_uncompressed_crc,57561239.949917145,0.001196556
0,100B,10MiB,mcap_nochunking,434262185.1416735,0.002808952
0,100B,10MiB,sqlite_default,78998212.38985139,0.000353426
0,100B,10MiB,sqlite_resilient,70951426.83725442,0.001305175
0,mixed,1KiB,mcap_default,492725747.5014036,0.000862924
0,mixed,1KiB,mcap_compressed_nocrc,470309040.8518867,0.001205936
0,mixed,1KiB,mcap_uncompressed_crc,99707610.4680323,0.000785056
0,mixed,1KiB,mcap_nochunking,793668277.9356837,0.000910754
0,mixed,1KiB,sqlite_default,141838575.30073383,0.000218273
0,mixed,1KiB,sqlite_resilient,121778925.18960895,0.00180022
0,mixed,10MiB,mcap_default,737569484.8080448,0.000838303
0,mixed,10MiB,mcap_compressed_nocrc,424750877.9063426,0.001222354
0,mixed,10MiB,mcap_uncompressed_crc,205381760.09418714,0.000998082
0,mixed,10MiB,mcap_nochunking,1761021857.9464715,0.000962919
0,mixed,10MiB,sqlite_default,658780725.7171068,0.000295725
0,mixed,10MiB,sqlite_resilient,367521577.2172725,0.003270436
1,1MiB,1KiB,mcap_default,4105362694.9064918,0.0007981
1,1MiB,1KiB,mcap_compressed_nocrc,1062065208.4483422,0.000808017
1,1MiB,1KiB,mcap_uncompressed_crc,285880109.33068556,0.000677278
1,1MiB,1KiB,mcap_nochunking,2721175143.2319756,0.000857804
1,1MiB,1KiB,sqlite_default,2605987495.204445,0.000312891
1,1MiB,1KiB,sqlite_resilient,1346801632.9520605,0.002321936
1,1MiB,10MiB,mcap_default,3883725718.5623603,0.001003044
1,1MiB,10MiB,mcap_compressed_nocrc,1008033891.367341,0.000828308
1,1MiB,10MiB,mcap_uncompressed_crc,284220739.28063637,0.000752732
1,1MiB,10MiB,mcap_nochunking,2628428388.394407,0.000954882
1,1MiB,10MiB,sqlite_default,2331764858.4161916,0.000340932
1,1MiB,10MiB,sqlite_resilient,768294306.6583989,0.000976131
